# 基于encryptId的唯一记录系统
# 格式: encryptId|encryptJobId|security_id|job_name|detail_file|match_type
# 核心: 使用encryptId作为唯一标识符

748ac5cdfb9090e80ndz0964GVNS|748ac5cdfb9090e80ndz0964GVNS|mXU8E8zq93ZT6--1y5V1lMpfsmt8mELNukeWJGhvWWlLCa6ovlOONZYfrV96qv43jzH0dE2oskZ4kJxTFtloKpIALzGzqdzgi4evflD7tApGcc0NO7-E83uuSZbj9OOZthntZYOta2FtAtEQD1UjcVoITwgeLLHJjtde_QsojC5i886TpfzQuZN0JybiSEICxpseEVXGdt9PWfOeaRmuulw0To0C2c1Y_wGMr7wGQU7Fza6vIlmPcjKg8-tOqo-cPcSOQ5iKIczxeFuABKduyNn13uQpCZuNcQSnS2qjDcVACIN7|AI 产品经理|detail_76.json|encryptId_direct
543789e15bdaaabc0ndz2N-0F1dQ|543789e15bdaaabc0ndz2N-0F1dQ|L3SPDjM5K2MVC-C1r3YpLkKzSmLs0SwVPSLRIRpnVXh3CkeKMkB4fwo_KbM7fc2Aw3ntbPJHOCWXwUsODuJHhFOfyO3vtj6a_8zJbEbqXGTCe-VvTd6IJijD3AaOVS87n-pz9bbU4kbKZmsdMFQV-LlKQh24vfWaH2UpoD9C26zyAL0S9_eQR56vjmCD3WM9yYlKKHRx9UE0DagiZDCkikYmDXhIO5BfjmQPxCjCdfMoOsrFJG4sQ7jhoxSy1ITvpr9Vwjezzc44QasqW-LxMJTQbyOW_kLIdO2ud_RL40eHnA~~|人工智能国际展览策划项目负责人|detail_153.json|encryptId_direct
f0d53ff1031f353c0nd-0tS6ElZS|f0d53ff1031f353c0nd-0tS6ElZS|wMQK2RKDYcbOh-t1E6FGzmTTUvelK8sU8YIcUdQ_nnxGmW6VBGzpPqyfDrgkZZp_UFMDQAhTkAeDxhj1B08yrLYU7VjSvjKSOR6SYi65WSKdl0NV5VDQFj1F0DLtQCzelnGKcb2oSu7fKHO5hdQl9Ek69IoXwdMcZ6t8Si1gx5TFf15_QcZymdxUzIuxktWk912cCcNKXpXi7YCCr1j_INNT_ZZOKFyMhGifU6rIOSO-zYraOmJmXooyckE6bAVEzmDTuhquW7WEbC9Ht_WUsizRtHYBdPnM7mnVELTvv_1yexna|应用开发经理（生成式人工智能）|detail_46.json|encryptId_direct
da55d798e2dc26710nZ53di6EVVR|da55d798e2dc26710nZ53di6EVVR|p6kMFQCrf9vLG-Q1OiZZfl-k_QAz3e0gvtItxbOlz3Leb97ik4Cn2So-5K55YxTDRPWd-5E_m8s1gsSpTS5pO9th_WS97jVD2G8X37vQhD-fvEkVWgV4mtIOMVZXjMWjowh3Ell5ijyAPd2y3KszZA33sT86siVRlhxpKsrWJdD6SKcLzS-nT4TsEsR3BGG_p0snD9nEZguCfz1YuGx6Ia00FfoTrQ_nq7aXaQHLTwhxlmo4z6iWUmbc89SY1TcEyMAirEjOTLlWPKRTlpZ-3o6rV1xzaspuA05xms-FfsxFt7zuREzNwwVthraIVvKH0HGtT_5c|ai/人工智能/服务器配件-外贸销售-行业趋势|detail_139.json|encryptId_direct
fbf68697439ba6b50nV43Ni0EFBT|fbf68697439ba6b50nV43Ni0EFBT|KjyauSAEiEUEl-n1wIo7aqAOVY_4jqMKINme-OuCGewJ2ahcZrQK-ducRAgi-eyXfCA7o4fVLcxdcMCmkFITvhTPG_3W9qc3xjl3s9sQpV98zmaatS6wZlb4NcBiNu_tQCUMIOq2BICvmtXFIx4-suimFW5XyFHyqFNEp3RgCaQOrzfzSaKPAm_eAo33MDA93jKABEQ7zNzYUKGHByUKXg22jHFq7kL9XPo9SEbIV2ZVwBQjGpqgCdJTTrmGcTRMR6gRnUdAXQ3SfFW3f8hAIfz49yb6fcYeB_aKBONR4Y4eT_0~|AI产品经理（远程）|detail_82.json|encryptId_direct
452582fb765f0ed10ndy39y6GVBY|452582fb765f0ed10ndy39y6GVBY|N8aPGxQ60VrXA-c1a937-GOlNLSvreRaZmTW2d_W6Mtr61syZz8cfz37Wc-CQAAk8GpVr7dipNMoJdS7VG3V8RJqQVMC9fs-cb9AMRDZnHk_CV7_FXsP8OklltjpAwY8vpMMlJBMNymtWPb2r-MOrZm6J6n8fhVglwceT3cVGD0pqTgoczhrqg3a-5GJ4f8TDeGp5i9UHNGO8qFOWMjhx9QlzWeMDcIMFtdvPYvL2Xma89hE92-cYvoPtMX9pyJiY83avjdPBkHgOfMY7NkTLE5EB7_sjJoJ-1pPFninnSvDvxs~|人工智能应用开发工程师|detail_20.json|encryptId_direct
5bd6e3af3ff371210nd53ti5FlJQ|5bd6e3af3ff371210nd53ti5FlJQ|CHXefqIaEYym0-G1a21CAabc-MNqiq7WmPLmgSrRxLKiJuvYQm2vwIgaFSJRn9qCshU68M7IA7fLDuw7xaarylnkP4wF69yxW-eXffDbbr9WIy68zQMsicX3tptZ8nE5Xl37c9_AcDQIQ7hlULJ75a3SYT4ZbZF9Ig2ClmqC6_2zYEYtee1Qc55Fw0SAh1nNXl0CveZf7MIKjBQEmQjqDmWftCviXPdidrpVo0lOTmTDAs3TP7O_2gEnqBvQPZpnMTTcXEmsKlG--YkGprV07ljBRJjY7yGUE2OfI45Gt43jXb6U|AI人工智能+新风口+数字经济+日入过干|detail_31.json|encryptId_direct
2e45686d9d4aa0040nd429y6GFdY|2e45686d9d4aa0040nd429y6GFdY|Vu5irr3X5JdGf-21hdbSLllSPW3nv8ClKcMGsHRzpUx2hmBP6XOHHiVhsqg34o-htTaJcU_xhNCbN7Ym9NYTDeeBg-6n7Xm9_bf0gVtXH7cRMFZrRUrlmknyvgISqwCsZaSGcmuRonAgYWztQCetYyGeVnjq8l4j_jBU4acNBdQd12JcUdK8NDv7yFaR82nyJiiYmCwqrxkWSoaOwkP7Dd39rI1XiC0MMBDUVFvoOln0Wd91BWvHXMsDKOcjros1OHCiK0s81vMVtR7z5dLH5XiKEemp9iNEhESoJdzR53UrOA4~|AI人工智能营销+新风口+日入过干+提供资源|detail_27.json|encryptId_direct
dbfd9bb642e1b9700nB62Nu4FVNX|dbfd9bb642e1b9700nB62Nu4FVNX|2iiZXOJgxepde-F13HFg3mB_dVXrWVkCxBb3msXUduZsyROsFK8YqLuyOfE7ENQ1ylrFybxjI5J1wvPCE60zc8EcMscM-b1GGIqPEatuX1uMvuZjgQzA-2eLPWU_xYdJCH1M7JQF6Egx_fKV3ir8lGajDc9WSxWvoKJ3ohFC9C8tn8UoaEqrxVOyjNRtuDHgv1tOuTz9BaTTvAZTM090W5ki7AoJgERJAtO7x05Li0HQekl5VmhjUjDkP-jfA3h2qnl1iNGWDoafh11xLvkYrfvYOf2d2I2wp4G0Ya2XK4mIXQ~~|AI产品专家|detail_74.json|encryptId_direct
9b87ccef6724c2780nZ70ti6E1BQ|9b87ccef6724c2780nZ70ti6E1BQ|pFfkBvftYG6Hh-A11dsFFG3gzjRLylg9dcyU-EHZfQRheAQHc_H-WTf_MtMAXsC8oq1Tz0QN31Z2cjUpST42g3sVWMI-oW2V0j1T1pceqTeHEaSQa_quuUEJnsxQelPl0K_ehASPqEK5dwwLLmZZUl6nSw5KcbgB8qECf_qtL52eT9YGXPu4Cfc2sM0DaeJyWlUsfNhHX3ZozYKG0ZV8K32xeoK3R1ga-zfgVhOPJvfFdr9fEm4-_4AAZJFpTUD_KI2X7vyXYdRmRHmyIcBNqgbdhUi0I88X1o-1Cszhhhfo|AI产品专家(室经理)|detail_71.json|encryptId_direct
